APLICACION,DESCRIPCION,ARQUITECTURA,TIPO_APLICACION,CRITICIDAD_RO,ACOPLAMIENTO_CORE,PROVEEDOR,DOMINIO,GRUPO,FRAMEWORK_APLICACION,MOTOR_BASE,SO,OBSOLESENCIA_IDE,OBSOLESCENCIA_BDD,OBSOLESCENCIA_SO,TRANSACCIONALIDAD,TIPO_AUTENTICACION,TPS,REQUIERE_REFACTORIZACION,CRITICIDAD_BASE,TAMAÑO_BASE,OBSOLESCENCIA,EOL_NEXT,REQUIERE DESACOPLAMIENTO,ENUMERAR_COMPONENTES_OBSOLETOS,COMPONENTES_OBSOLETOS,ENUMERAR_COMPONENTES_ECOSISTEMA,MODERNIZA,DECOMIZAR,CONTENERIZAR,NUEVA,TOTAL_VULNERABILIDAES,VULNERABILIDADES_CRITICAS,VULNERABILIDADES_ALTAS,VULNERABILIDADES_MEDIAS,OBSERVACION,CAMBIOS_PROPUESTOS,MANEJA_HISTORICOS,DETALLE_MANEJO_HISTORICOS,NUMERO_USUARIOS_APLICACION,PROMEDIO_TRANSACCIONAL,INFORMACION_SENSIBLE,EXPONE_DMZ,IMPACTO_NEGOCIO,SERVIDORES_APLICACION,SERVIDORES_BDD,BDD,TIENE_INICIATIVA,INICIATIVA,PROGRAMA,AÑO,ACTUALMENTE_NUBE,CANDIDATA_IAAS,CANDIAATA_SAAS,JOURNEY_TO_CLOUD,PRIORIZACION,COMPLEJIDAD,JUSTIFICACION_TECNICA,PONDERACION,EVALUACION MAR / ESCALA,ESTRATEGIA,TIEMPO,COMPLEJIDAD,COSTO-ESTIMADO
CONTROL M,Aplicativo para controlar el Batch,WINDOWS,COMPONENTE,SI,100,BMC,Plataforma Tecnológica,Batch,PYTHON,NO APLICA BASE DE DATOS,NO APLICA SISTEMA OPERATIVO,NO,NO,NO,ALTA,PROPIO PROVEEDOR,0,N/A,BAJA,9006.42,NO,NO,NO,48,BGR186A01;BGR186Q01;BGR186Q05;DRBGR186A01;DRBGR186Q01;DRBGR186Q05;DRECBRPRQ21;DRECBRPRQ24;DRSRVPRO01;ECBRPRQ21;ECBRPRQ24;ECBRPRQ37;ECBRTSQ10;ECBRTSQ15;ECBRTSW14;SRVPRO01;SUIO186A06;TEST186Q01;TEST186Q02;TEST186Q04;,295,SI,NO,NO,NO,47,14,1,32,Optimizar licencias control M,MIGRACION NUBE,SI,"15-Bases:BGR_CELULAR_HISTORICO CRITICIDAD:MEDIA,TAMAÑO:210177.25PRUMINAHUI_HISTORICO CRITICIDAD:MEDIA,TAMAÑO:12909.875PRUMINAHUI_HISTORICO CRITICIDAD:MEDIA,TAMAÑO:41069.875INTERFASES_CANALES_HIST CRITICIDAD:BAJA,TAMAÑO:420222.125SWITCH_COBROS_PAGOS_HIS CRITICIDAD:ALTA,TAMAÑO:130937.25SWITCH_COBROS_PAGOS_HIS CRITICIDAD:BAJA,TAMAÑO:86336.1870000000ATM_HIS CRITICIDAD:ALTA,TAMAÑO:101447.937000000ESTRUCTURAS_CONTROL_BGR_HIS CRITICIDAD:MEDIA,TAMAÑO:172608.499000000BGR_LOGS_HISTORICA CRITICIDAD:MEDIA,TAMAÑO:382207.875BGRNET_HISTORICO CRITICIDAD:MEDIA,TAMAÑO:1337PRUMINAHUI_HISTORICO CRITICIDAD:MEDIA,TAMAÑO:12909.875PRUMINAHUI_HISTORICO CRITICIDAD:MEDIA,TAMAÑO:41069.875DBSIG_HIST CRITICIDAD:MEDIA,TAMAÑO:1151964SWITCH_COBROS_PAGOS_HIS CRITICIDAD:ALTA,TAMAÑO:130937.25SWITCH_COBROS_PAGOS_HIS CRITICIDAD:BAJA,TAMAÑO:86336.1870000000",-1,NULL,N/A,N/A,SI,,172.20.1.128-ECBRPRCL19 Q60;172.20.1.129-ECBRPRQ21;172.20.1.160-ECBRPRQ49;172.20.1.2-ECBRPRQ71;172.20.1.213-ECBRPRCL11 Q39;172.20.1.214-ECBRPRCL12 Q43;172.20.1.215-ECBRPRCL13 Q47;172.20.1.23-ECBRPRQ64;172.20.1.27-BGR186A01;172.20.1.42-ECBRPRQ37;172.20.1.46-ECBRPRLSQ63;172.20.1.64-BGR186Q05;172.20.1.7-SRVPRO01;172.20.1.75-ECBRPRQ74;172.20.1.93-ECBRPRQ24;172.20.1.96-ECBRPRQ45;172.20.40.25-BGR186Q01;,ACCIONISTAS;ASESORES;ATM;ATM_HIS;AURO_BGR_CHECKLIST;AURO_BGR_COMMON;AURO_BGR_CONDICIONES;AURO_BGR_CONTABILIDAD;AURO_BGR_EJECUCIONPROCESOS;AURO_BGR_ESTRUCTURAL;AURO_BGR_INVERSIONES;AURO_BGR_MOTORPAGOS;AURO_BGR_NOTIFICACIONES;AURO_BGR_NXT;AURO_BGR_ROUTINGACTION;BACKOFFICE_SISTEMAS_BGR;BACPROD;BANCADIGITALHIS;BDD_BGR_PRODUCTOS;BDD_SOLICITUD_TCO;BDVARIOS;BGR_APPOINTMENT;BGR_CELULAR;BGR_CELULAR_HISTORICO;BGR_CELULAR_HISTORICO_TEMP;BGR_DCNET_CAMARA;BGR_INTERFACES_SIGLO;BGR_LOGS;BGR_LOGS_HISTORICA;BGR_LOGS_HISTORICA_TEMP;BGR_ORQUESTADOR_OFFLINE;BGR_SPYRAL;BGR_VQ;BGRNET;BGRNET_HISTORICO;CASHMANAGEMENT;CASHNEWRELEASE_HIS;CATALOGOSERVICIOSBGR;CONFIGURACION_CENTRAL_BGR;DBACTIVOS;DBPASIVOS;DBSAC_BGR;DBSIG;DBTRANSACCIONAL;ESTRUCTURAA06;ESTRUCTURAS_CONTROL_BGR;ESTRUCTURAS_CONTROL_BGR_HIS;FIRMAS;HIS_SIGLO21_BGR;HIS_SIGLO21_BGR_ACTUAL;HRA_PROD;INTERFASES_CANALES;INTERFASES_CANALES_HIST;LEEFECTIVO;LOGIREPORT_BGR;MESAS;MICCS;MONITOR;MONITORCAJEROS;MONITORP;PORTAL_ADMINISTRATIVO_BGR;PROSPECTOS_BGR;PRUEBAS_DEPARTAMENTALES_BGR;PRUMINAHUI;PRUMINAHUI_HISTORICO;RECLAMOS;SEGUIMIENTO;STG_ESTRUCTURAS_CONTROL_BGR;SWITCH_COBROS_PAGOS;TOOL_CITAS;TRANSACCIONMOTIVO;WTOFICINAS;WTTELLER;,SI,OPTIMIZACIÓN EN EL LICENCIAMIENTO DE CONTROL M,EFICIENCIA,0,NO,SI,SI,SI,1,1,"Recomendado a nube, solución SAAS del proveedor.",37.00,,,,,
NUEVA CENTRALIZADA WEBMASTERCONFIGURACIONBGR,Aplicativo front de la nueva centralizada,WINDOWS,APLICACION WEB Y SERVICIO WEB,NO,0,BGR,Canales,Sucursal (WebPichinchaCom),PUNTO NET 2019 - FRAMEWORK 4.7.2,MICROSOFT SQL SERVER 2016 ENTERPRISE EDITION,MICROSOFT WINDOWS SERVER 2016 STANDARD EDITION,NO,NO,NO,BAJA,ACTIVE DIRECTORY,0,SI,BAJA,0.5,NO,SI,NO,0,,7,SI,NO,SI,NO,NULL,NULL,NULL,NULL,MEJORA EN EL ALGORITMOD E ENCRIPTACION,N/A,NO,N/A,-1,NULL,N/A,LAN,NO,172.20.1.197-ECBRPRW58;172.20.1.198-ECBRPRW59;,172.20.1.215-ECBRPRCL13 Q47;,SEGURIDAD_OFFICE_SYSTEM;,SI,NA - BAU -SIN- INICIATIVA,BAU,2026,NO,NA,SI,SI,1,1,"Recomendado a Nube, Maneja parametrica de Centralizada BGR, Migrar a Postgress, tablas tipo catalogo de configuración. CONFIGURACION_CENTRALIZADA, SEGURIDAD_OFFICE_SYSTEM",36.00,,,,,
EVOLUTION,"Sistema de pagos de nómina.|Gestión de los recursos humanos (proveedor de información). Permite consultar la información personal del empleado (planillas del IESS, solicitud de vacaciones, ausencias, permisos, entre otros)",WINDOWS,APLICACION WEB Y WINDOWS,NO,0,ENGINEERING BUSINESS SOFTWARE ME&HE C.L.,Gestión de Personas,Gestión RRHH,Power BUILDER 9,MICROSOFT SQL SERVER 2019 ENTERPRISE EDITION,MICROSOFT WINDOWS SERVER 2019 STANDARD EDITION,SI,NO,NO,BAJA,PROPIO PROVEEDOR,1,N/A,MEDIA,19.67,SI,NO,NO,0,,7,NO,NO,NO,SI,NULL,NULL,NULL,NULL,NUEVO ERP TH,NUEVO ERP TH - DECOMIZAR,NO,N/A,-1,19826,N/A,LAN,NO,172.20.1.56-ECBRPRW43;,172.20.1.214-ECBRPRCL12 Q43;,HRA_PROD;,SI,NA - BAU -SIN- INICIATIVA,BAU,2026,NO,SI,NA,SI,1,1,Recomendado a nube; Modelo SAAS - aplicación de proveedor.,36.00,,,,,
AURO,"Sistema para la gestión de inversiones, financiamiento, emisiones de deuda.",WINDOWS,APLICACION WEB,SI,30,SERIVARSA,Productos,Inversiones,PUNTO NET 2019 - FRAMEWORK 4.7.2,MICROSOFT SQL SERVER 2019 ENTERPRISE EDITION,MICROSOFT WINDOWS SERVER 2019 STANDARD EDITION,NO,NO,NO,BAJA,PROPIO PROVEEDOR,0,NO,N/A,NULL,NO,NO,NO,0,,6,NO,NO,NO,NO,NULL,NULL,NULL,NULL,NA,N/A,NO,N/A,-1,NULL,N/A,LAN,SI,172.20.1.76-ECBRPRW83;,,,SI,NA - BAU -SIN- INICIATIVA,BAU,0,NO,NA,SI,SI,1,1,Solicitar a proveedor aplicación SAAS.,35.00,,,,,
VENTANA MARCO (FRONT DE SIGLO 21),"Consultas, regularizaciones y afectaciones clientes. Mantenimiento de catálogo de cuentas contables. Front de siglo 21. Se utiliza en el proceso de logística de efectivo. Parametrización de siglo 21",WINDOWS,APLICACION WINDOWS,SI,100,BGR,Gestión Empresarial,"Gestión Financiera, Administración y Liquidez",JAVA,ORACLE 19C,MICROSOFT WINDOWS SERVER 2022 STANDARD EDITION,SI,NO,SI,N/A,SEGUNIXORANSERVICE,15,SI,N/A,NULL,SI,NO,SI,3,BGR186VM1;ECBRHCP2;TEST186H01;,5,NO,SI,NO,SI,-3,-1,-1,-1,"Levantar funcionalidades principales, contenerizar y desplegar en Nube.","Crear una aplicación de parametrizacion, desacoplar mediante APIS y front Moderno, en Angular.",NO,N/A,5,297390,N/A,LAN,SI,172.20.40.10-BGR186VM1;172.20.40.80-ECBRPRVM01;172.20.42.27-ECBRHCP2;,,,SI,ERP,MODERNIZACION,2026,NO,NA,NO,SI,5,1,"Se recomienda proceso de modernizacion, requiere Refactorización de Código, Desacoplar de Siglo, Aplicación de paramterizacion de tablas de Core Bancario. No se poseen fuentes ni contacto con el proveedor y funciona bajo java antiguo en windows server obsoleto.  Desacoplar a MSAPI - Front Moderno(Angular)",34.00,,,,,
SEQ,SERILOG registro de logs v2023 3,WINDOWS,APLICACION WEB,NO,0,BGR,Plataforma Tecnológica,Plataforma Tecnológica,SEQ2025.2.14199,NO APLICA BASE DE DATOS,MICROSOFT WINDOWS SERVER 2019 STANDARD EDITION,NO,NO,NO,ALTA,SEGUNIXORANSERVICE,500,NO,N/A,NULL,NO,NO,NO,0,,4,NO,NO,SI,NO,NULL,NULL,NULL,NULL,PLATAFORMA WEB DE PROVEEDOR PARA LOGGING Y MONITOREO,LLEVAR A UN ESQUEMA DE NUBE,NO,N/A,3,9913000,N/A,LAN,NO,172.20.1.100-ECBRPRW74;172.20.1.250-ECBRPRW86;,,,SI,NA - BAU -SIN- INICIATIVA,BAU,2026,NO,NA,SI,SI,1,1,"Recomendado a Nube, Aplicación para registro de LOGGIN, indispensable instalar en ecosistema cloud para  login de aplicación.",33.00,,,,,
SHAREPOINT OPRISK,Sharepoint donde se almacena la información de riesgo operativo de BGR,WINDOWS,COMPONENTE,NO,0,BINARIA SISTEMAS S.A.,Gestión Empresarial,"Gestión de Riesgo, Cumplimiento AML y Fraude",MICROSOFT SHAREPOINT SERVER 2019,NO APLICA BASE DE DATOS,MICROSOFT WINDOWS SERVER 2016 STANDARD EDITION,NO,NO,NO,BAJA,PROPIO PROVEEDOR,0,N/A,BAJA,2.31,NO,NO,NO,0,,6,SI,SI,NO,SI,NULL,NULL,NULL,NULL,NULL,MIGRAR A NUBE,NO,N/A,-1,NULL,N/A,N/A,SI,172.20.1.229-ECBRPRW69;172.20.1.230-ECBRPRW70;,172.20.1.223-ECBRPRLSQ54;,WSS_CONTENT_OPRISKV810_40000;,SI,NA - BAU -SIN- INICIATIVA,BAU,2026,NO,NA,SI,SI,1,1,SE REQUIRE DECOMIZAR SHAREPOINT | REVISAR CON EL PROVEEDOR,29.00,,,,,
BGRINTERFACESSIGLOAPP,"PROCESADOR DE MENSAJES QUE PERMITE LA INTERACCION DE LOS LEGACIES CON EL CORE DE SIGLO 21 EVITANDO AL UTILIZACIOND EL SNA, ATRAVES DE UNA CONEXION TCP/IP SOCKETS",WINDOWS,SERVICIO WEB,NO,100,BGR,Plataforma Tecnológica,Plataforma Tecnológica,PUNTO NET 2017 - FRAMEWORK 4.7.1,MICROSOFT SQL SERVER 2016 ENTERPRISE EDITION,MICROSOFT WINDOWS SERVER 2019 STANDARD EDITION,NO,NO,NO,ALTA,SEGUNIXORANSERVICE,100,SI,BAJA,31.74,NO,SI,NO,0,,11,SI,NO,SI,NO,NULL,NULL,NULL,NULL,.Net Core8.00,Subir a OpenShift - Contenedores,NO,N/A,-1,1982600,N/A,LAN,NO,172.20.1.248-ECBRPRW73;172.20.1.57-ECBRPRW38;172.20.1.58-ECBRPRW39;,172.20.1.46-ECBRPRLSQ63;,BGR_INTERFACES_SIGLO;,SI,CORE DIGITAL,MODERNIZACION,2026,NO,SI,NO,SI,1,2,"Procesador de mensajes BGR, comunicación directa con siglo - PRIMERO CONTENERIZAR OPEN SHIFT",29.00,,,,,
MONITOR PLUS,Aplicación utilizada por la unidad de cumplimiento para monitorear transacciones inusuales de los clientes,WINDOWS,APLICACION WEB,SI,50,PLUS TI,Gestión Empresarial,"Gestión de Riesgo, Cumplimiento AML y Fraude",PUNTO NET 2017 - FRAMEWORK 4.7.1,MICROSOFT SQL SERVER 2016 ENTERPRISE EDITION,MICROSOFT WINDOWS SERVER 2016 STANDARD EDITION,NO,NO,NO,MEDIO,PROPIO PROVEEDOR,0,NO,MEDIA,1197.54,NO,SI,NO,7,ECBRTSW14;TEST186Q01;,78,NO,NO,NO,NO,NULL,NULL,NULL,NULL,NULL,MOVER POR JOURNEY TO CLOUD,NO,N/A,-1,NULL,N/A,LAN,NO,172.20.1.208-ECBRPRW60;172.20.1.209-ECBRPRQ66;,172.20.1.75-ECBRPRQ74;,MONITOR;MONITORH;MONITORJI;MONITORJP;MONITORP;MONITORT;MP_ALERTS;MP_BEHAVIOR;MP_CONFIG;MP_DASHBOARD;MP_ECOSYSTEM;MP_HISTORY;MP_JOURNALE;MP_JOURNALO;MP_LOG;MP_TEMP;MPBRIDGE;MPCONTAINER;MPF_DATASOURCES;MPF_FORM_MANAGER;MPSECURITY;,SI,NA - BAU -SIN- INICIATIVA,BAU,0,NO,SI,NA,SI,1,1,Solicitar a proveedor aplicación SAAS.,28.00,,,,,
EFLOW,Aplicativo que sirve para dar turnos para atención de los clientes desde agencias de BGR,WINDOWS,APLICACION WEB,NO,30,SIDESYS ECUADOR,Canales,Caja (WebTeller BGR),PUNTO NET 2017 - FRAMEWORK 4.7.1,MICROSOFT SQL SERVER 2016 ENTERPRISE EDITION,MICROSOFT WINDOWS SERVER 2016 STANDARD EDITION,NO,NO,NO,MEDIO,PROPIO PROVEEDOR,0,NO,N/A,NULL,NO,SI,NO,2,ECBRPRW35;ECBRTSW17;,4,NO,NO,NO,NO,NULL,NULL,NULL,NULL,NA,N/A,NO,N/A,-1,NULL,N/A,LAN,NO,172.20.1.30-ECBRPRW27;,,,SI,NA - BAU -SIN- INICIATIVA,BAU,0,NO,SI,NA,SI,1,1,Solicitar a proveedor aplicación SAAS.,28.00,,,,,
BGRINTERFACESSIGLOMS,"Es un procesador de mensajes para Microservicios, que realiza la comunicación con Siglo 21. ",WINDOWS,SERVICIO WEB,SI,100,BGR,Plataforma Tecnológica,Plataforma Tecnológica,PUNTO NET 2017 - FRAMEWORK 4.7.1,MICROSOFT SQL SERVER 2016 ENTERPRISE EDITION,MICROSOFT WINDOWS SERVER 2019 STANDARD EDITION,NO,NO,NO,ALTA,SEGUNIXORANSERVICE,100,SI,BAJA,31.74,NO,SI,NO,0,,11,SI,NO,SI,NO,NULL,NULL,NULL,NULL,.Net Core8.00,Subir a OpenShift - Contenedores,NO,N/A,-1,1982600,N/A,LAN,NO,172.20.1.248-ECBRPRW73;172.20.1.57-ECBRPRW38;172.20.1.58-ECBRPRW39;,172.20.1.46-ECBRPRLSQ63;,BGR_INTERFACES_SIGLO;,SI,CORE DIGITAL,MODERNIZACION,2026,NO,SI,NO,SI,1,2,"Procesador de mensajes BGR, comunicación directa con siglo - PRIMERO CONTENERIZAR OPEN SHIFT",28.00,,,,,
BGRINTERFACESSIGLO,"Es un procesado de mensajes, realiza la comunicación entre los aplicativos y el listener de Siglo 21. ",WINDOWS,SERVICIO WEB,SI,100,BGR,Plataforma Tecnológica,Plataforma Tecnológica,PUNTO NET 2017 - FRAMEWORK 4.7.1,MICROSOFT SQL SERVER 2019 ENTERPRISE EDITION,MICROSOFT WINDOWS SERVER 2019 STANDARD EDITION,NO,NO,NO,ALTA,SEGUNIXORANSERVICE,40,SI,BAJA,31.74,NO,SI,NO,0,,11,SI,NO,SI,NO,NULL,NULL,NULL,NULL,.Net Core8.00,Subir a OpenShift - Contenedores,NO,N/A,-1,793040,N/A,LAN,NO,172.20.1.248-ECBRPRW73;172.20.1.57-ECBRPRW38;172.20.1.58-ECBRPRW39;,172.20.1.46-ECBRPRLSQ63;,BGR_INTERFACES_SIGLO;,SI,CORE DIGITAL,MODERNIZACION,2026,NO,SI,NO,SI,1,2,"Procesador de mensajes BGR, comunicación directa con siglo - PRIMERO CONTENERIZAR OPEN SHIFT",28.00,,,,,
REDIS,Herramienta OpenSource BSD license permite almacenar datos estructurados en formato JSON  a manera de una cache  debido a que redis maneja los datos en memoria del computador,WINDOWS,SERVICIO WINDOWS,NO,-1,BGR,Plataforma Tecnológica,Plataforma Tecnológica,REDIS 7.4.2,NO APLICA BASE DE DATOS,MICROSOFT WINDOWS SERVER 2019 STANDARD EDITION,NO,NO,NO,ALTA,PROPIO PROVEEDOR,0,REQ,N/A,NULL,NU,NULL,NO,0,,37,NO,NO,SI,NO,NULL,NULL,NULL,NULL,Servicio Proveedor,Mantener https://redis.io/ | se instala en los servidores para hacer uso de la cache,NO,NO,1,300000,N/A,N/A,NO,172.20.1.120-ECBRPRW77;172.20.1.133-ECBRPRW49;172.20.1.134-ECBRPRW50;172.20.1.136-ECBRPRWE25;172.20.1.137-ECBRPRWE26;172.20.1.140-ECBRPRKW01;172.20.1.143-ECBRPRW76;172.20.1.154-ECBRPRW85;172.20.1.244-ECBRPRWE32;172.20.1.245-ECBRPRWE33;172.20.1.247-ECBRPRW72;172.20.1.248-ECBRPRW73;172.20.1.57-ECBRPRW38;172.20.1.58-ECBRPRW39;172.20.1.76-ECBRPRW83;172.20.115.10-ECBRPRKC01;172.20.115.11-ECBRPRKC02;172.20.115.13-ECBRPRWE27;172.20.115.17-ECBRPRWE31;,,,NO,NA - BAU -SIN- INICIATIVA,BAU,2026,NULL,NULL,SI,SI,3,1,"Se requiere en plataforma de Nube, recurso de Key-Value.",28.00,,,,,
GARANTIAS O SISGAR,Sistema utilizado para la administración de garantías de las operaciones crediticias de los clientes,WINDOWS,APLICACION WEB,SI,100,BGR,Operaciones de Productos,Administración de Garantías,JAVA 1.8,ORACLE 19C,MICROSOFT WINDOWS SERVER 2016 STANDARD EDITION,NO,NO,NO,BAJA,SEGUNIXORANSERVICE,0,SI,N/A,NULL,NO,NO,SI,0,,2,SI,SI,SI,SI,NULL,NULL,NULL,NULL,NULL,RIESGOS PROVISIONES CARTERA Y GARANTIAS,NO,N/A,-1,NULL,N/A,LAN,NO,172.20.1.82-ECBRPRW06;,,,SI,RIESGO PROVISIONES CARTERA Y GARANTIAS,MODERNIZACION,2027,NO,NA,SI,SI,3,3,"No recomendado cloud ya tiene Iniciativa, Riesgo provisiones cartera y Riesgo2027 -  y se decomiza la aplicación - Pero Analizar modernizacion de cloud por MRA",27.00,,,,,
E-BUSINESS,Aplicativo de administración de recursos humano,N/A,COMPONENTE,NO,0,E-BUSSINESS,Gestión de Personas,Gestión RRHH,NO APLICA IDE,NO APLICA BASE DE DATOS,NO APLICA SISTEMA OPERATIVO,NO,NO,NO,N/A,SEGUNIXORANSERVICE,0,N/A,N/A,NULL,NO,NO,NO,0,,1,SI,NO,NO,SI,NULL,NULL,NULL,NULL,ERP Y REMUNERACIONES,NUEVA SOLUCION ERP DE TALENTO HUMANO,NO,N/A,-1,NULL,N/A,N/A,NO,172.20.1.56 - ECBRPRW43;,,,SI,ERP-TH,MODERNIZACION,2027,NO,NA,SI,SI,3,1,Solicitar a proveedor aplicación SAAS.,24.00,,,,,
BRIGHTMAIL,antispam symantec,LINUX,APLICACION,NO,-1,BINARIA SISTEMAS S.A.,Plataforma Tecnológica,Plataforma Tecnológica,BRIGHTMAIL SMG 10.9.1-3,NO APLICA BASE DE DATOS,CentOS 7 (64-bit),NO,NO,NO,N/A,PROPIO PROVEEDOR,0,REQ,N/A,NULL,NU,NULL,NULL,3,campanias.bgr.com.ec;notificaciones.bgr.com.ec;,3,NO,NO,NO,NO,8,0,3,5,NULL,N/A,NO,N/A,100,ALTO,SI,LAN,NO,172.20.115.32-notificaciones.bgr.com.ec;,,,NO,NA - BAU -SIN- INICIATIVA,BAU,NULL,NO,NO,SI,SI,1,1,"Recomendado a nube , requiere analices, actualmente se usa por el notificador BGR.",22.00,,,,,
DATAWAREHOUSE - CAMPAÑAS (BGRDESQ02),Sistema para consulta de datos financieros para toma de decisiones del negocio,WINDOWS,COMPONENTE,NO,30,BGR,Gestión de Información y Procesos,Retención/Persistencia de Información,SQL SERVER 2008 R2,MICROSOFT SQL SERVER 2008 ENTERPRISE EDITION,MICROSOFT WINDOWS SERVER 2008 R2 ENTERPRISE EDITION,SI,SI,SI,BAJA,ACTIVE DIRECTORY,0,SI,N/A,NULL,SI,NO,NO,1,ECBRPRQ30;BGRDESQ02,2,SI,SI,NO,SI,21,5,1,15,MIGRACION A LA ARQUITECTURA DE DATOS DE NUBE,NUEVA PLATAFORMA DE DATOS,NO,N/A,10,NULL,N/A,NO APLICA UBICACION,SI,172.20.1.12-ECBRPRQ30; 172.20.41.20 - BGRDESQ02,,,SI,ESTRUCTURAS DE CONTROL Y REGULATORIOS,MODERNIZACION,2026,NO,SI,SI,SI,5,2,"Requiere entrar en plan de modernizacion de forma urgente, Servidor obsoleto BGRDESQ02. Existe un plan para subir a la nube como IAAS con BUSISSNESWARE - SERVIDOR BI Entra en estrcturas de control",51.00,,,,,
SHAREPOINT INFORMACIÓN TOMA DE DECISIONES (ITD),Aplicativo para generación de reportes de la GDA,WINDOWS,APLICACION WINDOWS,NO,0,BGR,Gestión de Información y Procesos,Analítica de Información,NO APLICA IDE,NO APLICA BASE DE DATOS,NO APLICA SISTEMA OPERATIVO,NO,NO,NO,NULL,PROPIO PROVEEDOR,0,N/A,BAJA,3.54,SI,NO,NO,2,BGRDESQ02;DRECBRPRQ21;ECBRPRQ21;ECBRPRQ30;ECBRPRW20;,2,NO,SI,SI,SI,33,8,0,25,AZURE ARQUITECTURA DE DATOS - SERVIDOR OBSOLETO - PROCESOS DE CAMPAÑAS GDA,AZURE ARQUITECTURA DE DATOS,NO,N/A,NULL,0,N/A,N/A,SI,172.20.1.11-ECBRPRW20;,172.20.1.12-ECBRPRQ30;172.20.1.129-ECBRPRQ21;172.20.1.223-ECBRPRLSQ54;172.20.41.20-BGRDESQ02;,SHAREPOINT_CONFIG;,SI,ESTRUCTURAS DE CONTROL Y REGULATORIOS,MODERNIZACION,2026,NO,NO,SI,SI,5,2,"Se recomienda modernizar los procesos e ir a nube de azure  Data Lake, servidor obsoleto BGRDESQ02 - Iniciativa ESTRUCTURAS DE CONTROL Y REGULATORIOS",43.00,,,,,
CUBOS,Sistema de información que permite extraer datos de base de datos. Es un análisis service.,WINDOWS,COMPONENTE,NO,0,BGR,Gestión de Información y Procesos,Analítica de Información,SQL SERVER ANALYSIS SERVICES 9.0,MICROSOFT SQL SERVER 2000 ENTERPRISE EDITION,MICROSOFT WINDOWS SERVER 2003 ENTERPRISE EDITION,SI,SI,SI,N/A,SEGUNIXORANSERVICE,0,N/A,N/A,NULL,SI,NO,NO,3,BGR186A01;DRBGR186A01;ECBRPRW30;,3,SI,SI,NO,SI,6,3,0,3,MIGRACION A LA ARQUITECTURA DE DATOS DE NUBE,NUEVA PLATAFORMA DE DATOS,NO,N/A,-1,NULL,N/A,NO APLICA UBICACION,SI,172.20.1.27-BGR186A01;,,,SI,ESTRUCTURAS DE CONTROL Y REGULATORIOS,MODERNIZACION,2026,NO,NA,SI,SI,5,2,"se recomienda prograna Journey To Cloud, ya tiene Iniciativa Estructuras Control -2026",42.00,,,,,
PRUEBASDEPARTAMENTALESCOM,Utilizado para consolidación de todas las cuentas del balance del banco,WINDOWS,APLICACION WEB,NO,50,BGR,Gestión de Información y Procesos,Analítica de Información,PUNTO NET 2017 - FRAMEWORK 4.7.1,MICROSOFT SQL SERVER 2016 STANDARD EDITION,MICROSOFT WINDOWS SERVER 2016 STANDARD EDITION,NO,NO,NO,BAJA,SEGUNIXORANSERVICE,0,N/A,MEDIA,1172.3,NO,SI,NO,7,DRSRVPRO01;ECBRTSW90;SRVPRO01;SUIO186A06;TEST186Q01;TEST186W05;,23,SI,SI,SI,SI,12,3,0,9,NULL,NUEVA SOLUCION DESACOPLADA,SI,"1-Bases:DBSIG_HIST CRITICIDAD:MEDIA,TAMAÑO:1151964",-1,NULL,N/A,LAN,NO,172.20.1.114-ECBRPRW47;172.20.1.115-ECBRPRW48;,172.20.1.213-ECBRPRCL11 Q39;172.20.1.7-SRVPRO01;,DBSIG;ESTRUCTURAA06;PRUEBAS_DEPARTAMENTALES_BGR;SISTEMA_MENU_CENTRALIZADO;,SI,ESTRUCTURAS DE CONTROL Y REGULATORIOS,MODERNIZACION,2026,NO,NO,NO,SI,5,2,"Se recomienda programa Journey To Cloud, ya tiene Iniciativa Estructuras Control -2026",41.00,,,,,
ESTRUCTURAS DE CONTROL,Aplicativo que permite la parametrización de catálogos de homologación y permite la generación de estructuras hacia los entes de control,WINDOWS,APLICACION WEB,NO,75,BGR,Gestión de Información y Procesos,Analítica de Información,PUNTO NET 2017 - FRAMEWORK 4.7.1,MICROSOFT SQL SERVER 2016 ENTERPRISE EDITION,MICROSOFT WINDOWS SERVER 2016 STANDARD EDITION,NO,NO,NO,BAJA,SEGUNIXORANSERVICE,2,SI,MEDIA,169.68,NO,SI,NO,0,,19,SI,NO,SI,NO,NULL,NULL,NULL,NULL,APLICACION LEGADA EN .NET FRAMEWORK 4.7,REINGENIERIA EN LA NUBE DE LA ODS DE ESTRUCTURAS,SI,"1-Bases:ESTRUCTURAS_CONTROL_BGR_HIS CRITICIDAD:MEDIA,TAMAÑO:172608.499000000",6,39652,N/A,LAN,NO,172.20.1.111-ECBRPRW44;172.20.1.112-ECBRPRW45;,172.20.1.213-ECBRPRCL11 Q39;172.20.1.214-ECBRPRCL12 Q43;,ESTRUCTURAS_CONTROL_BGR;SISTEMA_MENU_CENTRALIZADO;TRANSACCIONMOTIVO;,SI,ESTRUCTURAS DE CONTROL Y REGULATORIOS,MODERNIZACION,2026,NO,NA,SI,SI,5,2,"Recomendado a Nube, Requiere Refactorizacion de código, tablas de estructuras Control - ESTRUCTURAS_CONTROL_BGR, Existe Iniciatva Estructura - 2026",40.00,,,,,
